City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
139,Sao Jose Da Coroa Grande,BR,78.51,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
143,Moussoro,TD,74.1,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
145,Viedma,AR,71.74,few clouds,-40.8135,-62.9967,Hotel Cristal
147,Harper,LR,79.48,light rain,4.375,-7.7169,Screensaver
150,Sinnamary,GF,74.75,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
152,Novo Aripuana,BR,74.12,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
154,Salalah,OM,73.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
155,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
156,Tahoua,NE,76.86,clear sky,14.8888,5.2692,Bungalows Guesthouse
161,Sorong,ID,78.78,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
163,Pajapan,MX,82.56,clear sky,18.25,-94.7,Hotel Del Carmen
167,Vaini,TO,86.16,light rain,-21.2,-175.2,Keleti Beach Resort
168,Hambantota,LK,72.61,scattered clouds,6.1241,81.1185,Bungalow 63
176,Manavalakurichi,IN,73.85,broken clouds,8.1333,77.3,Jebinrio home
180,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
182,Sampit,ID,74.25,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
184,Alice Springs,AU,88.21,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
190,Kolokani,ML,80.01,few clouds,13.5728,-8.0339,Pieds à terre Kolokani
192,Oriximina,BR,74.57,light rain,-1.7656,-55.8661,Pousada Tia Amélia
197,Jizan,SA,74.34,clear sky,17.3333,42.6667,شهدان. ابوالحجر
200,Kavaratti,IN,78.78,broken clouds,10.5669,72.642,Poddar Sworone
