City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
556,Mascota,MX,20.5167,-104.7833,66.31,31,3,5.46,clear sky
557,Pangody,RU,65.85,74.4859,11.53,95,100,13.09,overcast clouds
558,Kaeo,NZ,-35.1,173.7833,75.33,70,83,14.29,broken clouds
559,Saint-Augustin,CA,51.226,-58.6502,22.28,78,64,16.91,broken clouds
560,Gotsu,JP,35.0,132.2167,31.24,64,100,20.31,light snow
561,Katangli,RU,51.7102,143.2326,2.35,97,100,28.39,snow
562,Vila,PT,42.0304,-8.1588,34.68,87,3,4.45,clear sky
563,Colwyn Bay,GB,53.2948,-3.7267,45.21,44,54,5.01,broken clouds
564,Bandarbeyla,SO,9.4942,50.8122,74.61,72,60,17.4,broken clouds
565,San Patricio,US,28.017,-97.5169,65.17,51,75,18.95,broken clouds
566,Kruisfontein,ZA,-34.0033,24.7314,61.88,67,88,10.94,overcast clouds
567,Singarayakonda,IN,15.25,80.0333,70.81,75,33,5.39,scattered clouds
568,Miyako,JP,39.6367,141.9525,16.79,60,55,16.02,broken clouds
569,Grand Gaube,MU,-20.0064,57.6608,73.8,83,100,3.0,moderate rain
570,Marawi,PH,7.9986,124.2928,68.29,96,100,2.84,overcast clouds
571,Bressuire,FR,46.9167,-0.5,34.25,93,100,7.78,overcast clouds
572,Opuwo,NA,-18.0607,13.84,68.72,62,96,6.15,overcast clouds
573,Gif-Sur-Yvette,FR,48.6833,2.1333,36.68,88,100,8.05,overcast clouds
574,Seaford,GB,50.7714,0.1027,39.09,89,9,1.01,clear sky
575,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,94.39,33,65,10.74,broken clouds
576,Russell,US,32.3502,-85.1999,55.0,50,0,4.61,clear sky
577,Bandar-E Lengeh,IR,26.5579,54.8807,63.84,45,100,15.05,overcast clouds
578,Yambio,SS,4.5721,28.3955,72.84,37,20,1.59,few clouds
579,Anadyr,RU,64.75,177.4833,-12.5,77,0,8.95,clear sky
580,Kutum,SD,14.2,24.6667,60.1,17,58,7.63,broken clouds
581,Kargasok,RU,59.0556,80.8572,-28.37,100,12,3.15,few clouds
582,Srednekolymsk,RU,67.45,153.6833,-25.78,95,100,1.07,overcast clouds
583,Pascagoula,US,30.3658,-88.5561,62.42,83,100,16.11,overcast clouds
584,Dom Pedro,BR,-4.4833,-44.45,73.81,98,32,3.56,scattered clouds
585,La Maddalena,IT,41.2142,9.4083,48.36,71,93,17.98,overcast clouds
586,Dennery,LC,13.8996,-60.8879,77.09,84,20,14.97,few clouds
587,Kharhial,IN,20.2833,82.7667,61.7,41,81,2.15,broken clouds
588,Chapleau,CA,47.8405,-83.4034,12.29,79,100,3.44,overcast clouds
589,Jiblah,YE,13.9216,44.1467,54.63,83,6,1.25,clear sky
590,Qasigiannguit,GL,68.8193,-51.1922,16.05,95,100,2.51,light snow
591,Lagos,NG,6.5833,3.75,82.72,89,13,3.94,few clouds
592,Shakhtinsk,KZ,49.71,72.5872,-11.38,100,90,5.26,overcast clouds
593,Urcos,PE,-13.6861,-71.6228,64.29,74,73,7.34,broken clouds
594,Iguai,BR,-14.7564,-40.0892,72.5,94,61,3.33,broken clouds
595,Lazaro Cardenas,MX,17.9583,-102.2,82.98,49,0,11.1,clear sky
596,Wembley,AU,-31.9333,115.8,70.68,69,0,12.66,clear sky
597,Thinadhoo,MV,0.5333,72.9333,79.81,79,100,10.0,overcast clouds
598,Cap Malheureux,MU,-19.9842,57.6142,73.47,83,100,3.0,moderate rain
599,Sargatskoye,RU,55.6101,73.4972,14.07,95,100,10.58,overcast clouds
600,Baherden,TM,38.4362,57.4316,29.3,43,8,0.54,clear sky
601,Carutapera,BR,-1.195,-46.02,74.8,94,100,6.76,overcast clouds
602,Hoopstad,ZA,-27.8327,25.9083,74.82,35,38,10.85,scattered clouds
603,Jardim,BR,-21.4803,-56.1381,80.44,68,87,2.21,overcast clouds
604,Elban,RU,50.1018,136.5094,-36.6,97,68,3.4,broken clouds
605,Eyemouth,GB,55.8713,-2.0901,48.24,92,100,16.53,overcast clouds
606,Noyabrsk,RU,63.1994,75.4507,3.87,95,100,18.32,overcast clouds
607,Leningradskiy,RU,69.3833,178.4167,-23.44,91,26,8.95,scattered clouds
608,Pangai,TO,-19.8,-174.35,87.91,55,20,5.75,few clouds
609,Mujiayingzi,CN,42.1167,118.7833,0.0,60,96,6.67,overcast clouds
610,Belmonte,BR,-15.8631,-38.8828,79.05,84,36,10.31,scattered clouds
611,Zainsk,RU,55.3195,52.0694,5.99,94,76,6.71,broken clouds
612,Krasnoarmeysk,RU,51.0239,45.6969,11.86,80,63,6.35,broken clouds
613,Carrick-On-Suir,IE,52.3492,-7.4131,48.09,99,100,2.86,overcast clouds
